pixel_id,timestamp,region_id,B2_blue,B3_green,B4_red,B8_nir,B11_swir1
R001_P011,2026-05-06,R001,0.111,0.149,0.146,0.503,0.294
R001_P011,2026-05-13,R001,0.129,0.136,0.147,0.388,0.266
R001_P011,2026-05-20,R001,0.143,0.125,0.154,0.457,0.248
R001_P012,2026-04-01,R001,0.167,0.167,0.199,0.401,0.331
R001_P012,2026-04-08,R001,0.128,0.163,0.188,0.464,0.279
R001_P012,2026-04-15,R001,0.141,0.174,0.186,0.413,0.304
R001_P012,2026-04-22,R001,0.127,0.183,0.167,0.442,0.261
R001_P012,2026-04-29,R001,0.135,0.175,0.166,0.543,0.255
R001_P012,2026-05-06,R001,0.15,0.152,0.208,0.409,0.313
R001_P012,2026-05-13,R001,0.136,0.157,0.217,-999.0,0.294
R001_P012,2026-05-20,R001,0.145,0.185,0.169,0.399,0.338
R001_P013,2026-04-01,R001,0.141,0.132,0.173,0.398,0.261
R001_P013,2026-04-08,R001,0.13,0.151,0.164,0.399,0.264
R001_P013,2026-04-15,R001,0.102,0.133,0.135,0.369,0.251
R001_P013,2026-04-22,R001,0.114,0.149,0.174,0.487,0.268
R001_P013,2026-04-29,R001,0.102,0.116,0.148,0.418,0.257
R001_P013,2026-05-06,R001,0.128,0.126,0.168,0.458,0.246
R001_P013,2026-05-13,R001,0.119,0.139,0.176,0.513,0.23
R001_P013,2026-05-20,R001,0.103,0.143,0.164,0.396,0.244
R001_P014,2026-04-01,R001,0.147,0.165,0.196,0.51,-999.0
R001_P014,2026-04-08,R001,0.155,0.158,0.193,0.51,0.269
R001_P014,2026-04-15,R001,0.16,0.188,0.2,0.438,0.274
R001_P014,2026-04-22,R001,0.146,0.183,0.202,0.478,0.272
R001_P014,2026-04-29,R001,0.179,0.164,0.181,0.445,0.278
R001_P014,2026-05-06,R001,0.147,0.197,0.217,-999.0,0.329
R001_P014,2026-05-13,R001,0.173,0.151,0.206,0.422,0.336
R001_P014,2026-05-20,R001,0.134,0.194,0.202,0.418,0.299
R001_P015,2026-04-01,R001,0.131,0.159,0.204,0.427,0.31
R001_P015,2026-04-08,R001,0.113,0.134,-999.0,0.481,0.323
R001_P015,2026-04-15,R001,0.109,0.173,0.19,0.497,0.315
R001_P015,2026-04-22,R001,0.119,0.133,0.194,0.453,0.317
R001_P015,2026-04-29,R001,0.152,0.133,0.147,0.381,0.249
R001_P015,2026-05-06,R001,0.15,0.149,0.202,0.421,0.308
R001_P015,2026-05-13,R001,0.111,0.149,0.192,0.438,0.272
R001_P015,2026-05-20,R001,0.113,0.145,0.151,0.418,0.304
R001_P016,2026-04-01,R001,0.164,0.161,0.175,0.477,0.336
R001_P016,2026-04-08,R001,0.141,0.187,0.196,0.518,0.265
R001_P016,2026-04-15,R001,0.159,0.176,0.2,0.434,0.305
R001_P016,2026-04-22,R001,0.142,0.163,0.212,0.528,0.257
R001_P016,2026-04-29,R001,0.153,0.182,0.212,0.42,0.302
R001_P016,2026-05-06,R001,0.126,0.167,0.221,0.504,0.321
R001_P016,2026-05-13,R001,0.136,0.168,-999.0,0.416,0.284
R001_P016,2026-05-20,R001,0.163,0.176,0.168,0.484,0.259
R001_P017,2026-04-01,R001,0.131,0.146,0.169,0.426,0.237
R001_P017,2026-04-08,R001,0.154,0.163,0.155,0.455,0.283
R001_P017,2026-04-15,R001,0.153,0.13,0.189,0.494,0.235
R001_P017,2026-04-22,R001,0.128,0.161,0.149,0.458,0.277
R001_P017,2026-04-29,R001,0.135,0.132,0.2,0.428,0.32
R001_P017,2026-05-06,R001,0.137,0.175,0.158,0.426,0.308
R001_P017,2026-05-13,R001,0.146,0.159,0.19,0.475,0.291
R001_P017,2026-05-20,R001,0.127,0.162,0.162,0.387,0.236
R001_P018,2026-04-01,R001,0.123,0.164,0.171,0.411,0.262
R001_P018,2026-04-08,R001,0.147,0.173,0.196,0.462,0.286
R001_P018,2026-04-15,R001,0.143,0.181,0.18,0.477,0.322
R001_P018,2026-04-22,R001,0.116,0.172,0.156,0.532,0.276
R001_P018,2026-04-29,R001,0.122,0.182,-999.0,0.502,0.322
R001_P018,2026-05-06,R001,0.118,0.135,0.197,-999.0,0.28
R001_P018,2026-05-13,R001,0.144,0.176,0.195,0.389,0.239
R001_P018,2026-05-20,R001,0.146,0.136,0.192,0.518,0.265
R001_P019,2026-04-01,R001,0.137,0.163,0.139,0.369,0.235
R001_P019,2026-04-08,R001,0.123,0.143,0.195,0.491,0.313
R001_P019,2026-04-15,R001,0.134,0.165,0.154,0.395,-999.0
R001_P019,2026-04-22,R001,0.141,0.158,0.145,0.512,0.256
R001_P019,2026-04-29,R001,0.101,0.151,0.14,0.414,0.282
R001_P019,2026-05-06,R001,0.132,0.119,0.184,0.502,0.284
R001_P019,2026-05-13,R001,0.098,0.161,0.195,0.441,0.244
R001_P019,2026-05-20,R001,0.098,0.136,0.188,0.394,0.292
R001_P020,2026-04-01,R001,0.154,0.143,0.167,0.49,0.256
R001_P020,2026-04-08,R001,0.152,0.17,0.184,0.465,0.285
R001_P020,2026-04-15,R001,0.162,0.161,0.188,0.425,0.338
R001_P020,2026-04-22,R001,0.15,0.15,0.162,0.475,0.246
R001_P020,2026-04-29,R001,0.166,0.143,0.205,0.529,0.294
R001_P020,2026-05-06,R001,0.167,0.181,0.214,0.535,0.239
R001_P020,2026-05-13,R001,0.158,0.178,0.193,0.466,0.287
R001_P020,2026-05-20,R001,0.125,0.144,0.202,0.509,0.254
R002_P001,2026-04-01,R002,0.144,0.159,0.194,0.48,0.305
R002_P001,2026-04-08,R002,0.138,0.142,0.159,0.387,0.327
R002_P001,2026-04-15,R002,0.145,0.174,0.208,0.421,0.251
R002_P001,2026-04-22,R002,0.147,0.172,0.195,0.502,0.281
R002_P001,2026-04-29,R002,0.125,0.137,0.181,0.432,0.245
R002_P001,2026-05-06,R002,0.128,0.153,0.203,0.38,0.288
R002_P001,2026-05-13,R002,0.135,0.166,0.205,0.475,0.255
R002_P001,2026-05-20,R002,0.15,0.147,0.199,0.472,0.284
R002_P002,2026-04-01,R002,0.117,0.153,0.172,0.426,0.29
R002_P002,2026-04-08,R002,0.151,0.166,0.182,0.482,0.325
R002_P002,2026-04-15,R002,0.13,0.173,0.182,0.474,0.29
R002_P002,2026-04-22,R002,0.145,0.175,-999.0,0.422,0.321
R002_P002,2026-04-29,R002,0.156,0.149,0.158,0.451,0.267
R002_P002,2026-05-06,R002,0.113,0.153,0.195,0.489,-999.0
R002_P002,2026-05-13,R002,0.119,0.178,0.204,0.429,0.256
R002_P002,2026-05-20,R002,0.153,0.166,0.159,0.432,-999.0
R002_P003,2026-04-01,R002,0.1,0.149,0.172,0.487,0.29
R002_P003,2026-04-08,R002,0.107,0.12,0.151,0.491,0.266
R002_P003,2026-04-15,R002,0.095,0.146,0.171,0.464,0.249
R002_P003,2026-04-22,R002,0.111,0.151,-999.0,0.425,0.225
R002_P003,2026-04-29,R002,0.102,0.136,0.166,0.364,0.277
R002_P003,2026-05-06,R002,0.11,0.158,0.175,0.41,0.213
R002_P003,2026-05-13,R002,0.137,0.155,0.186,0.425,0.311
R002_P003,2026-05-20,R002,0.105,0.139,0.178,0.507,0.254
R002_P004,2026-04-01,R002,0.105,0.136,0.138,0.422,0.298
R002_P004,2026-04-08,R002,0.111,0.131,-999.0,0.451,0.245
R002_P004,2026-04-15,R002,0.108,0.136,0.173,0.468,0.29
R002_P004,2026-04-22,R002,0.094,0.161,0.148,0.365,0.284
R002_P004,2026-04-29,R002,0.13,0.143,-999.0,0.407,0.245
R002_P004,2026-05-06,R002,0.139,0.123,0.133,0.387,0.228
R002_P004,2026-05-13,R002,0.129,0.127,-999.0,0.41,0.29
R002_P004,2026-05-20,R002,0.107,0.128,0.145,-999.0,0.288
R002_P005,2026-04-01,R002,0.149,0.162,0.211,-999.0,0.344
R002_P005,2026-04-08,R002,0.13,0.151,0.201,0.483,0.256
R002_P005,2026-04-15,R002,0.179,0.163,0.182,0.501,0.32
R002_P005,2026-04-22,R002,0.165,0.195,0.214,0.499,0.294
R002_P005,2026-04-29,R002,0.151,0.153,0.181,0.451,0.283
R002_P005,2026-05-06,R002,0.164,0.169,0.17,0.517,0.288
R002_P005,2026-05-13,R002,0.164,0.151,0.209,0.475,0.256
R002_P005,2026-05-20,R002,0.14,0.167,0.219,-999.0,0.293
R002_P006,2026-04-01,R002,0.155,0.161,0.206,-999.0,0.326
R002_P006,2026-04-08,R002,0.158,0.142,0.198,0.38,0.289
R002_P006,2026-04-15,R002,0.144,0.153,0.168,0.407,0.28
R002_P006,2026-04-22,R002,0.146,0.13,0.194,0.478,0.258
R002_P006,2026-04-29,R002,0.156,0.145,0.202,0.431,0.263
R002_P006,2026-05-06,R002,0.122,0.163,0.152,0.424,0.313
R002_P006,2026-05-13,R002,0.158,0.176,0.152,0.411,0.32
R002_P006,2026-05-20,R002,0.123,0.176,0.173,0.381,-999.0
R002_P007,2026-04-01,R002,0.112,0.136,-999.0,0.366,0.219
R002_P007,2026-04-08,R002,0.124,0.142,0.167,0.426,0.233
R002_P007,2026-04-15,R002,0.095,0.159,0.183,0.4,0.216
R002_P007,2026-04-22,R002,0.126,0.12,0.183,0.444,0.295
R002_P007,2026-04-29,R002,0.094,0.157,0.164,0.401,0.232
R002_P007,2026-05-06,R002,0.138,0.141,0.186,0.509,0.256
R002_P007,2026-05-13,R002,0.116,0.156,0.135,0.495,0.273
R002_P007,2026-05-20,R002,0.14,0.159,0.154,0.382,0.253
R002_P008,2026-04-01,R002,0.158,0.178,0.172,0.517,0.278
R002_P008,2026-04-08,R002,0.129,0.147,0.185,0.469,0.264
R002_P008,2026-04-15,R002,0.169,0.188,0.223,0.499,0.319
R002_P008,2026-04-22,R002,0.156,0.165,-999.0,0.487,0.296
R002_P008,2026-04-29,R002,0.162,0.177,0.224,0.497,0.284
R002_P008,2026-05-06,R002,0.176,0.151,-999.0,0.441,0.346
R002_P008,2026-05-13,R002,0.157,0.155,0.21,0.484,0.261
R002_P008,2026-05-20,R002,0.161,0.177,0.187,0.439,-999.0
R002_P009,2026-04-01,R002,0.104,0.125,0.138,0.387,0.265
R002_P009,2026-04-08,R002,0.111,0.136,0.181,0.491,0.254
R002_P009,2026-04-15,R002,0.132,0.124,0.156,0.458,0.297
R002_P009,2026-04-22,R002,0.084,0.133,0.124,0.472,-999.0
R002_P009,2026-04-29,R002,0.088,0.133,0.149,0.394,0.209
R002_P009,2026-05-06,R002,0.111,0.13,-999.0,0.47,0.272
R002_P009,2026-05-13,R002,0.093,0.135,0.169,0.424,0.245
R002_P009,2026-05-20,R002,0.116,0.137,0.125,0.488,0.264
R002_P010,2026-04-01,R002,0.128,0.135,0.177,0.519,0.298
R002_P010,2026-04-08,R002,0.142,0.161,0.186,0.396,0.318
R002_P010,2026-04-15,R002,0.137,0.159,0.203,0.415,-999.0
R002_P010,2026-04-22,R002,0.127,0.139,0.169,0.5,0.273
R002_P010,2026-04-29,R002,0.114,0.18,0.158,0.457,0.278
R002_P010,2026-05-06,R002,0.132,0.179,0.197,0.479,0.263
R002_P010,2026-05-13,R002,0.127,0.136,0.205,0.445,0.281
R002_P010,2026-05-20,R002,0.148,0.147,0.173,0.508,0.329
R002_P011,2026-04-01,R002,0.143,0.168,0.221,0.474,-999.0
R002_P011,2026-04-08,R002,0.128,0.167,-999.0,0.421,0.314
R002_P011,2026-04-15,R002,0.164,0.182,-999.0,0.432,0.314
R002_P011,2026-04-22,R002,0.174,0.154,0.22,0.525,0.25
R002_P011,2026-04-29,R002,0.146,0.194,0.201,0.457,0.274
R002_P011,2026-05-06,R002,0.146,0.162,-999.0,0.478,0.332
R002_P011,2026-05-13,R002,0.15,0.17,0.218,0.452,-999.0
R002_P011,2026-05-20,R002,0.166,0.189,0.172,0.431,-999.0
R002_P012,2026-04-01,R002,0.098,0.147,-999.0,0.403,0.213
R002_P012,2026-04-08,R002,0.129,0.114,0.133,0.414,-999.0
R002_P012,2026-04-15,R002,0.126,0.122,0.186,0.443,0.286
R002_P012,2026-04-22,R002,0.138,0.114,0.148,0.367,0.267
R002_P012,2026-04-29,R002,0.098,0.144,0.188,0.459,0.216
R002_P012,2026-05-06,R002,0.097,0.13,0.137,0.469,0.228
R002_P012,2026-05-13,R002,0.09,0.111,0.144,0.426,0.292
R002_P012,2026-05-20,R002,0.119,0.122,0.155,0.494,0.275
R002_P013,2026-04-01,R002,0.14,0.138,0.139,-999.0,0.25
R002_P013,2026-04-08,R002,0.103,0.148,0.135,0.49,0.299
R002_P013,2026-04-15,R002,0.109,0.138,0.147,0.449,0.301
R002_P013,2026-04-22,R002,0.105,0.137,0.148,0.473,0.259
R002_P013,2026-04-29,R002,0.135,0.158,0.174,0.429,-999.0
R002_P013,2026-05-06,R002,0.111,0.125,0.149,0.378,0.215
R002_P013,2026-05-13,R002,0.127,0.161,0.189,0.383,0.223
R002_P013,2026-05-20,R002,0.121,0.142,0.183,0.413,0.234
R002_P014,2026-04-01,R002,0.1,0.127,0.194,0.377,0.285
R002_P014,2026-04-08,R002,0.12,0.152,0.16,0.464,0.309
R002_P014,2026-04-15,R002,0.107,0.165,0.166,0.474,0.283
R002_P014,2026-04-22,R002,0.117,0.149,0.171,0.441,0.291
R002_P014,2026-04-29,R002,0.135,0.142,0.15,0.417,0.259
R002_P014,2026-05-06,R002,0.144,0.148,0.144,0.415,0.272
R002_P014,2026-05-13,R002,0.142,0.156,0.189,0.425,0.264
R002_P014,2026-05-20,R002,0.101,0.154,0.148,0.426,0.297
R002_P015,2026-04-01,R002,0.133,0.141,0.192,0.421,0.305
R002_P015,2026-04-08,R002,0.13,0.142,0.172,0.427,0.284
R002_P015,2026-04-15,R002,0.123,0.147,0.205,0.439,0.287
R002_P015,2026-04-22,R002,0.144,0.157,0.211,0.532,0.289
R002_P015,2026-04-29,R002,0.121,0.163,0.204,0.528,0.245
R002_P015,2026-05-06,R002,0.119,0.134,0.157,0.447,0.32
R002_P015,2026-05-13,R002,0.154,0.149,0.155,-999.0,0.308
R002_P015,2026-05-20,R002,0.135,0.15,0.185,0.498,0.325
R002_P016,2026-04-01,R002,0.142,0.188,0.176,0.478,-999.0
R002_P016,2026-04-08,R002,0.148,0.164,0.218,0.426,0.344
R002_P016,2026-04-15,R002,0.145,0.18,0.164,0.469,0.327
R002_P016,2026-04-22,R002,0.158,0.191,0.187,0.452,-999.0
R002_P016,2026-04-29,R002,0.161,0.188,0.195,0.406,0.287
R002_P016,2026-05-06,R002,0.173,0.156,0.182,-999.0,0.295
R002_P016,2026-05-13,R002,0.153,0.186,-999.0,0.488,0.328
R002_P016,2026-05-20,R002,0.151,0.159,0.208,0.535,-999.0
R002_P017,2026-04-01,R002,0.151,0.169,0.166,0.482,0.28
R002_P017,2026-04-08,R002,0.147,0.131,0.184,0.513,0.275
R002_P017,2026-04-15,R002,0.133,0.159,0.144,0.447,0.238
R002_P017,2026-04-22,R002,0.145,0.151,0.159,0.486,0.255
R002_P017,2026-04-29,R002,0.125,0.167,0.192,0.381,0.233
R002_P017,2026-05-06,R002,0.148,0.158,0.191,0.481,0.315
R002_P017,2026-05-13,R002,0.111,0.144,0.196,0.449,0.25
R002_P017,2026-05-20,R002,0.132,0.124,0.18,0.437,0.245
R002_P018,2026-04-01,R002,0.134,0.163,0.202,0.489,0.256
R002_P018,2026-04-08,R002,0.118,0.162,0.178,0.525,0.262
R002_P018,2026-04-15,R002,0.106,0.145,0.201,0.378,0.289
R002_P018,2026-04-22,R002,0.13,0.141,0.171,0.418,0.284
R002_P018,2026-04-29,R002,0.153,0.153,0.193,0.501,0.271
R002_P018,2026-05-06,R002,0.108,0.132,0.153,0.492,0.295
R002_P018,2026-05-13,R002,0.119,0.175,0.156,0.415,0.277
R002_P018,2026-05-20,R002,0.14,0.167,0.181,-999.0,0.294
R002_P019,2026-04-01,R002,0.132,0.15,0.152,0.386,0.253
R002_P019,2026-04-08,R002,0.119,0.118,0.139,0.417,0.241
R002_P019,2026-04-15,R002,0.122,0.113,0.166,0.396,0.295
R002_P019,2026-04-22,R002,0.124,0.115,0.183,-999.0,0.297
R002_P019,2026-04-29,R002,0.119,0.137,0.173,0.501,0.233
R002_P019,2026-05-06,R002,0.129,0.152,0.19,0.456,0.223
R002_P019,2026-05-13,R002,0.117,0.157,0.155,0.417,0.212
R002_P019,2026-05-20,R002,0.113,0.116,0.149,-999.0,0.309
R002_P020,2026-04-01,R002,0.138,0.191,0.227,0.513,0.336
R002_P020,2026-04-08,R002,0.147,0.172,-999.0,0.444,0.279
R002_P020,2026-04-15,R002,0.175,0.192,0.195,0.528,0.301
R002_P020,2026-04-22,R002,0.16,0.158,0.19,-999.0,0.31
R002_P020,2026-04-29,R002,0.129,0.172,0.179,0.409,0.311
R002_P020,2026-05-06,R002,0.141,0.151,0.181,0.524,-999.0
R002_P020,2026-05-13,R002,0.137,0.155,0.181,0.465,0.331
R002_P020,2026-05-20,R002,0.154,0.177,0.215,0.508,0.32
R003_P001,2026-04-01,R003,0.127,0.156,0.187,0.417,0.296
R003_P001,2026-04-08,R003,0.124,0.165,-999.0,0.494,0.292
R003_P001,2026-04-15,R003,0.122,0.157,0.184,0.457,0.309
R003_P001,2026-04-22,R003,0.126,0.177,0.193,0.496,0.332
R003_P001,2026-04-29,R003,0.146,0.152,0.192,0.423,0.235
R003_P001,2026-05-06,R003,0.133,0.154,0.21,0.414,0.263
R003_P001,2026-05-13,R003,0.15,0.146,0.159,0.499,0.252
R003_P001,2026-05-20,R003,0.161,0.183,0.185,0.465,0.258
R003_P002,2026-04-01,R003,0.159,0.168,-999.0,0.492,0.252
R003_P002,2026-04-08,R003,0.14,0.147,0.193,0.481,0.32
R003_P002,2026-04-15,R003,0.168,0.182,0.219,0.472,0.337
R003_P002,2026-04-22,R003,0.17,0.184,0.181,0.48,-999.0
R003_P002,2026-04-29,R003,0.135,0.169,0.171,0.418,0.326
R003_P002,2026-05-06,R003,0.134,0.167,0.185,0.504,0.308
R003_P002,2026-05-13,R003,0.131,0.183,0.198,0.4,-999.0
R003_P002,2026-05-20,R003,0.142,0.156,0.204,0.417,0.339
R003_P003,2026-04-01,R003,0.144,0.155,-999.0,0.429,0.253
R003_P003,2026-04-08,R003,0.128,0.148,0.187,0.424,0.31
R003_P003,2026-04-15,R003,0.113,0.133,0.19,0.44,0.243
R003_P003,2026-04-22,R003,0.144,0.173,0.156,0.404,0.236
R003_P003,2026-04-29,R003,0.138,0.149,0.184,0.483,-999.0
R003_P003,2026-05-06,R003,0.113,0.167,0.191,0.39,-999.0
R003_P003,2026-05-13,R003,0.144,0.141,0.161,0.421,0.231
R003_P003,2026-05-20,R003,0.155,0.173,0.168,0.512,-999.0
R003_P004,2026-04-01,R003,0.149,0.17,0.197,-999.0,0.289
R003_P004,2026-04-08,R003,0.121,0.14,0.17,0.391,0.235
R003_P004,2026-04-15,R003,0.114,0.154,0.164,0.48,0.323
R003_P004,2026-04-22,R003,0.139,0.165,-999.0,0.52,0.239
R003_P004,2026-04-29,R003,0.163,0.173,0.199,0.483,0.243
R003_P004,2026-05-06,R003,0.139,0.146,0.181,0.455,0.322
R003_P004,2026-05-13,R003,0.131,0.17,0.171,0.439,0.242
R003_P004,2026-05-20,R003,0.125,0.149,0.175,0.519,0.263
R003_P005,2026-04-01,R003,0.1,0.161,0.166,0.441,0.293
R003_P005,2026-04-08,R003,0.118,0.156,-999.0,0.405,0.222
R003_P005,2026-04-15,R003,0.143,0.141,0.153,0.497,0.234
R003_P005,2026-04-22,R003,0.101,0.139,0.189,0.454,0.283
R003_P005,2026-04-29,R003,0.106,0.156,0.147,0.433,0.262
R003_P005,2026-05-06,R003,0.099,0.13,0.147,0.426,0.266
R003_P005,2026-05-13,R003,0.136,0.131,0.185,0.465,0.296
R003_P005,2026-05-20,R003,0.127,0.136,0.174,0.421,0.3
R003_P006,2026-04-01,R003,0.105,0.111,0.19,0.414,0.238
R003_P006,2026-04-08,R003,0.107,0.14,0.184,0.451,0.274
R003_P006,2026-04-15,R003,0.094,0.135,0.163,0.434,0.271
R003_P006,2026-04-22,R003,0.135,0.152,0.146,0.387,0.265
R003_P006,2026-04-29,R003,0.12,0.148,0.178,0.46,0.268
R003_P006,2026-05-06,R003,0.114,0.128,0.157,0.437,0.223
R003_P006,2026-05-13,R003,0.12,0.138,0.159,0.463,0.309
R003_P006,2026-05-20,R003,0.102,0.143,0.155,0.388,0.31
R003_P007,2026-04-01,R003,0.172,0.158,0.204,0.468,0.251
R003_P007,2026-04-08,R003,0.173,0.173,0.22,0.407,0.335
R003_P007,2026-04-15,R003,0.132,0.197,0.204,0.522,0.268
R003_P007,2026-04-22,R003,0.158,0.181,0.185,0.401,0.276
R003_P007,2026-04-29,R003,0.169,0.157,0.227,0.436,0.335
R003_P007,2026-05-06,R003,0.143,0.191,0.191,0.471,0.256
R003_P007,2026-05-13,R003,0.153,0.167,-999.0,0.493,0.284
R003_P007,2026-05-20,R003,0.165,0.175,0.199,0.482,0.299
R003_P008,2026-04-01,R003,0.174,0.159,0.207,0.401,0.317
R003_P008,2026-04-08,R003,0.125,0.193,0.178,0.505,0.278
R003_P008,2026-04-15,R003,0.129,0.157,0.224,0.45,0.339
R003_P008,2026-04-22,R003,0.13,0.158,0.212,0.477,-999.0
R003_P008,2026-04-29,R003,0.152,0.167,0.179,0.47,0.286
R003_P008,2026-05-06,R003,0.163,0.161,0.195,0.471,0.278
R003_P008,2026-05-13,R003,0.157,0.161,0.223,0.518,0.341
R003_P008,2026-05-20,R003,0.174,0.147,0.169,0.402,0.274
